file_path,milestone,title_override
docs/issues/generated/parents/010-phase1-plan.md,Phase 1 - Canonical API Parity Baseline,Phase 1 — Canonical API Parity Baseline (Foundations) — 12%
docs/issues/generated/deliverables/0101-phase1-deliverable-route-by-route-api-parity-audit-with-examples-and-identified-diffs-resolved.md,Phase 1 - Canonical API Parity Baseline,Phase 1 — Route-by-route API parity audit with examples (success + error schemas) and identified diffs resolved.
docs/issues/generated/deliverables/0102-phase1-deliverable-permissions-enforce-canonical-rbac-across-finance-staff-operations.md,Phase 1 - Canonical API Parity Baseline,"Phase 1 — Permissions: Enforce canonical RBAC across finance, staff, operations (e.g., Sales Manager/Admin)."
docs/issues/generated/deliverables/0103-phase1-deliverable-response-shapes-paginated-lists-count-next-previous-results-standardized-error-p.md,Phase 1 - Canonical API Parity Baseline,"Phase 1 — Response shapes: Paginated lists {count,next,previous,results}; standardized error payloads."
docs/issues/generated/deliverables/0104-phase1-deliverable-json-schema-dev-only-validator-recognizes-canonical-aliases-schemas-exist-for-al.md,Phase 1 - Canonical API Parity Baseline,Phase 1 — JSON Schema: Dev-only validator recognizes canonical aliases; schemas exist for all touched resources.
docs/issues/generated/parents/020-phase2-plan.md,Phase 2 - Finance and Budget V2 Completion,Phase 2 — Finance & Budget Operations Completion (V2) — 8%
docs/issues/generated/deliverables/0201-phase2-deliverable-budgetv2-nested-writes-finalized-distributions-array-on-create-update-atomic-rep.md,Phase 2 - Finance and Budget V2 Completion,Phase 2 — BudgetV2 nested writes finalized: distributions array on create/update; atomic replace semantics; validation rules documented.
docs/issues/generated/deliverables/0202-phase2-deliverable-ux-lock-toggles-normalize-to-100-copy-last-year-toasts-and-a11y-states.md,Phase 2 - Finance and Budget V2 Completion,"Phase 2 — UX: lock toggles, normalize-to-100, copy-last-year; toasts and a11y states."
docs/issues/generated/deliverables/0203-phase2-deliverable-expense-budget-integration-canonical-cross-links-api-filters-with-tests.md,Phase 2 - Finance and Budget V2 Completion,"Phase 2 — Expense/Budget integration: canonical cross-links (cost center drill-through, budget-to-expense summaries); API filters (year, cost center) with tests."
docs/issues/generated/parents/030-phase3-plan.md,Phase 3 - Technician and User Mgmt Frontend,Phase 3 — Technician & User Management Frontend (Phase 4A) — 10%
